"EPCI_EPT","VAR","loc","fra","b100","TYPO_FREI","LIB_VAR_SH","LIB_VAR_LG","Unite","Source"
"200006930","fam3",3.81143085730391,5.52734782524417,68.9558713836782,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200006930","emp2",39.94,29.81,133.981885273398,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200006930","for2",56.9982667772392,48.5157951419143,117.483938190671,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200006930","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200006930","equ2",31.3986151959299,20.0468435617419,156.626229457151,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200006930","equ3",27.9503068340473,26.3159246878169,106.210620244658,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200006971","fam1",6.28289873079794,8.39564661886221,74.8351975258507,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200006971","fam3",4.55948652524045,5.52734782524417,82.4895893907136,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200006971","emp2",31.02,29.81,104.059040590406,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200006971","for2",64.567089074176,48.5157951419143,133.084676619872,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200006971","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200006971","equ2",39.253753331296,20.0468435617419,195.810144426972,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200006971","equ3",29.4862879993945,26.3159246878169,112.04731868322,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200007052","fam1",4.08236308556768,8.39564661886221,48.6247607944334,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200007052","fam3",1.77459571617332,5.52734782524417,32.1057362822093,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200007052","emp2",41.38,29.81,138.812479033881,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200007052","for2",65.9282495497655,48.5157951419143,135.890279355245,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200007052","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200007052","equ2",44.4559831381845,20.0468435617419,221.760513076612,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
"200007052","equ3",27.0093631700409,26.3159246878169,102.63505269319,"MOY","Distance au travail","Temps moyen de trajet domicile-travail des femmes","min.","Insee-RP 2021, Insee-METRIC 2024"
"200007177","fam1",5.24272494052764,8.39564661886221,62.4457552649845,"MOY","Familles monoparentales","Part des familles monoparentales parmi l'ensemble des ménages","%","Insee-RP 2021"
"200007177","fam3",5.10064475511506,5.52734782524417,92.2801480272274,"MOY","Familles nombreuses","Part des ménages avec 3 enfants ou plus","%","Insee-RP 2021"
"200007177","emp2",60.32,29.81,202.348205300235,"MOY","Non-mixité de l'offre d'emploi","Indice de ségrégation femmes / hommes des secteurs d'activité","%","Insee-RP 2021"
"200007177","for2",62.3484505581175,48.5157951419143,128.511653525911,"MOY","Femmes peu diplômées","Part des femmes sans diplôme ou titulaires d'un diplôme inférieur au niveau BAC","%","Insee-RP 2021"
"200007177","equ1",NA,NA,NA,"MOY","Accueil des jeunes enfants","Part des enfants de moins de 3 ans n'ayant théoriquement pas de place d'accueil","pour 100 enfants","CAF 2021"
"200007177","equ2",53.74016586563,20.0468435617419,268.072954727844,"MOY","Éloignement de l'école","Part des 6-10 ans scolarisés hors de leur commune de résidence","%","Insee-RP 2021"
