"EPCI_EPT","TYPO_IPCE","TYPO_INEG2","TYPO_FREI"
"200057941","FAVP","Q1","FAV"
"200057958","FAV","Q1","MOY"
"200057966","FAVP","Q1","FAV"
"200057974","FAVP","Q1","FAVP"
"200057982","FAVP","Q1","FAVP"
"200057990","FAV","Q1","FAV"
"200058006","FAV","Q1","FAV"
"200058014","MOY","Q1","FAV"
"200058097","DEG","Q4","MOY"
"200058360","FAVP","Q2","MOY"
"200058477","FAV","Q1","DEG"
"200058485","FAV","Q1","DEG"
"200058519","FAVP","Q2","MOY"
"200058782","FAV","Q2","FAV"
"200058790","MOY","Q1","FAV"
"200059228","MOY","Q2","DEG"
"200059392","FAV","Q4","DEG"
"200059400","MOY","Q2","FAV"
"200059889","FAV","Q2","DEGP"
"200060010","FAVP","Q3","DEG"
"200065563","FAV","Q1","FAV"
"200065589","FAV","Q3","DEG"
"200065597","MOY","Q1","MOY"
"200065647","DEG","Q4","DEG"
"200065787","DEG","Q4","FAV"
"200065886","FAV","Q4","MOY"
"200065894","FAVP","Q4","MOY"
"200065928","MOY","Q3","FAVP"
"200066009","DEGP","Q4","DEG"
"200066017","MOY","Q3","DEG"
"200066025","FAV","Q4","MOY"
"200066033","FAVP","Q4","FAV"
"200066041","FAV","Q4","DEG"
"200066058","MOY","Q4","FAV"
"200066108","MOY","Q4","FAV"
"200066116","MOY","Q4","MOY"
"200066124","MOY","Q3","DEG"
"200066132","DEGP","Q5","MOY"
"200066140","FAV","Q3","DEGP"
"200066157","DEG","Q4","DEG"
"200066165","FAV","Q4","MOY"
"200066173","MOY","Q5","DEGP"
"200066223","DEG","Q2","DEG"
"200066231","DEG","Q5","DEGP"
"200066280","MOY","Q2","DEGP"
"200066322","DEGP","Q4","DEGP"
"200066330","FAVP","Q2","FAVP"
"200066348","DEGP","Q4","DEGP"
"200066355","DEG","Q3","DEG"
"200066363","DEG","Q4","DEG"
"200066371","MOY","Q1","FAV"
"200066389","FAV","Q1","FAV"
"200066405","FAVP","Q4","DEG"
"200066413","MOY","Q3","DEGP"
